page,total_requests,ip_count
/,5109,3389
/placeslug/siargao/,745,608
/place/27/1/2026/,735,600
/userProfile/register,213,189
/apis/getPlaceBlogs/Siargao/,175,123
/discuss/27,165,121
/garden/map/siargao,151,109
/assets/images/,141,121
/admin/login/,132,115
/place/json/27/1/2026/,118,95
/userProfile/aboutUs,100,97
/userProfile/privacypolicy,91,87
/static/home/images/favicon-16x16.png,88,39
/home/getcarpooljson/,87,75
/.well-known/,86,56
/userProfile/,84,80
/ads.txt,82,49
/userProfile/termsandconditions,78,77
/favicon.ico,76,44
/.env,67,31
/static/home/images/favicon-32x32.png,64,32
/static/home/images/favicon.ico,61,31
/cgi-bin/,58,37
/garden/allplace,57,5
/placeslug/bohol-island/,54,25
/.git/config,50,14
/resorts/sampalochostel/,49,47
/assets/,45,30
/pages/hat/,43,32
/ALFA_DATA/alfacgiapi/,42,27
/apis/get_calendar_view/,38,29
/admin/controller/extension/extension/,33,33
/resorts/autopopulateResort,32,29
/resorts/thepentabeachresort/,32,14
/admin/,29,27
/imageapp/images/Siargao/,27,18
/backup/,26,14
/apple-touch-icon.png,26,13
/userProfile/login,25,24
/pages/cloud9/,25,15
/garden/visitor/,24,16
/wordpress/,24,14
/wp/,24,14
/apple-touch-icon-precomposed.png,24,12
/pages/blog/siargao/siargao-travel-guide-2025/,23,23
/modules/,22,14
/new/,22,13
/siargao/check/omni-island-service,22,10
/sitemap.xml.gz,22,9
/images/stories/,21,18
/blog/,21,13
/home/carpool/,19,19
/apis/getresortitem/sampalochostel/,19,14
/old/,19,13
/.vscode/sftp.json,19,11
/favicon.ico/,19,7
/admin/images/slider/,18,18
/sitemap.xml,18,18
/siargao/check/omni-island-service/,18,14
/place/27/1/2026/${blog.localurlpath},18,9
/admin/jsi18n/,18,1
/admin/editor/,17,17
/admin/fckeditor/editor/filemanager/,17,17
/placeslug/calatagan-batangas/,17,17
/pages/blog/laiya-batangas/how-to-get-in-tourist-destination/,16,16
/resorts/SampalocHostelResort/,16,16
/images/,16,9
/sftp-config.json,16,8
/place/27/1/2026/${app_link}/${arg1},16,7
/garden/map/${p.img},15,15
/home/autopopulate/,15,15
/pages/chemtrix/,15,6
/place/27/1/2026/${href},14,7
/siargao/check/siargao-island-boat-trip-tours,14,4
/home/htmltest/,12,12
/pages/blog/siargao/taktak-falls/,12,12
/atom.xml,12,6
/place/27/1/2026/$2,12,6
/sitemaps.xml,12,6
/sitemap.txt,12,5
