Title,Link,Background,Thumbnail,Marker,Location,Date,Host Name,Host Link,Locations JSON
 Bread and Butter ,https://siargaovibes.com/nightlife/bread-and-butter/,"url(""https://siargaovibes.com/wp-content/uploads/listing-uploads/cover/2023/07/IMG_7610_CRDP-768x1152.jpg"")",,,  Barbosa Siargao ,"  December 19, 2025 9:00 pm - 11:59 pm ",Barbosa Siargao,https://siargaovibes.com/restaurants/barbosa-siargao/,[]
 Thursday's at Manu ,https://siargaovibes.com/nightlife/fridays-at-manu/,"url(""https://siargaovibes.com/wp-content/uploads/2022/10/manu-rest-1-768x513.jpeg"")",,,  Manu ,"  December 18, 2025 7:00 pm - 1:00 am ",Manu,https://siargaovibes.com/nightlife/manu/,[]
 Tuesday's pub quiz at BARREL ,https://siargaovibes.com/activities/tuesdays-pub-quiz-at-barrel/,"url(""https://siargaovibes.com/wp-content/uploads/2022/11/barrel-pub-quiz-place-1-1-768x768.jpeg"")",,,  BARREL: Beachfront Sports Bar (Siargao) ,"  December 16, 2025 7:00 pm - 9:00 pm ",BARREL Beachfront Bar,https://siargaovibes.com/restaurants/barrel-beachfront-bar/,[]
 Mama Coco Siargao Events Schedule ,https://siargaovibes.com/nightlife/mama-coco-siargao-events-schedule/,"url(""https://siargaovibes.com/wp-content/uploads/2022/10/mama-coco-event-1.jpeg"")",,,  Mama Coco ,"  December 15, 2025 9:00 pm - 11:59 pm ",Mama Coco,https://siargaovibes.com/nightlife/mama-coco/,[]
 Friday Sunset Session at Siargao Bleu ,https://siargaovibes.com/nightlife/friday-sunset-session-at-siargao-bleu/,"url(""https://siargaovibes.com/wp-content/uploads/2023/01/siargao-bleu-place-1-768x660.jpg"")",,,  Siargao Bleu Resort & Spa ,"  December 19, 2025 4:00 pm - 9:00 pm ",,,[]
 Buntag Radio at Loka Siargao ,https://siargaovibes.com/uncategorized/buntag-radio-at-loka-siargao/,"url(""https://siargaovibes.com/wp-content/uploads/listing-uploads/cover/2025/01/Events-Announcement-762-x-460-px.jpg"")",,,  Cloud 9 Surfing Area ,"  December 16, 2025 10:00 am - December 18, 2025 12:00 pm ",,,[]
 Sundays with Amigos at Surfing Temple ,https://siargaovibes.com/nightlife/sundays-with-amigos-at-surfing-temple/,"url(""https://siargaovibes.com/wp-content/uploads/2022/11/surfing-temple-sunday-with-friends-copy-768x768.webp"")",,,  Surfing Temple ,"  December 14, 2025 7:00 pm - 12:00 am ",Surfing Temple,https://siargaovibes.com/restaurants/surfing-temple/,[]
 Barbosa Discro Tropico ,https://siargaovibes.com/nightlife/barbosa-discro-tropico/,"url(""https://siargaovibes.com/wp-content/uploads/listing-uploads/cover/2023/07/IMG_8285-2-2-768x1152.jpg"")",,,  Barbosa Siargao ,"  December 16, 2025 9:00 pm - 11:59 pm ",,,[]
 Sundown Social Club at Loka Siargao ,https://siargaovibes.com/restaurants/sundown-social-club-at-loka-siargao/,"url(""https://siargaovibes.com/wp-content/uploads/listing-uploads/cover/2025/01/Cover-1-1.jpg"")",,,  Cloud 9 Surfing Area ,"  December 12, 2025 4:00 pm - December 14, 2025 6:00 pm ",,,[]
 Funky Wednesday at Goodies ,https://siargaovibes.com/nightlife/funky-wednesday-at-goodies/,"url(""https://siargaovibes.com/wp-content/uploads/2022/11/goodies-funky-wednesday-768x272.jpeg"")",,,  Goodies - Cafe ,"  December 17, 2025 8:00 pm - 12:00 am ",Goodies,https://siargaovibes.com/restaurants/goodies/,[]
 Wakepark Sunday Funday ,https://siargaovibes.com/activities/wakepark-sunday-funday/,"url(""https://siargaovibes.com/wp-content/uploads/listing-uploads/cover/2023/11/0cd2c7b9-5bd5-4453-bced-86aeaf66fef3-768x1087.jpeg"")",,,  Siargao Wakepark ,"  December 14, 2025 3:30 pm - 8:00 pm ",,,[]
 Thursdays at Bed & Brew ,https://siargaovibes.com/nightlife/thursdays-at-bed-brew/,"url(""https://siargaovibes.com/wp-content/uploads/2018/12/bed-and-bewery-768x576.jpeg"")",,,  Siargao Bed and Brew ,"  December 18, 2025 8:00 pm - 11:59 pm ",Siargao Bed & Brew,https://siargaovibes.com/restaurants/siargao-bed-brew/,[]
 Monday's Bingo night at Goodies ,https://siargaovibes.com/activities/mondays-bingo-night-at-goodies/,"url(""https://siargaovibes.com/wp-content/uploads/2022/11/goodies-bingo-night-768x272.jpeg"")",,,  Goodies - Cafe ,"  December 15, 2025 7:00 pm - 9:00 pm ",Goodies,https://siargaovibes.com/restaurants/goodies/,[]
